bps_id,bps_name,county_fips,county_name,fips_place,fips_mcd,record_class,reason,first_year,last_year,units_2010_ymax,units_2000_ymax,sf,du,mf34,mf5p
485200,Massac County Unincorporated Area,127,Massac County,,00000,county_unincorporated,county_unincorporated,2013,2025,8,8,8,0,0,0
135700,Centreville,163,St. Clair County,12203,12210,municipal,no_tiger_match,2000,2023,3,89,3,0,0,0
554500,Newman township,041,Douglas County,,52636,township,township,2020,2025,2,2,2,0,0,0
001900,Adams township,099,LaSalle County,,00204,township,township,2000,2007,0,26,0,0,0,0
006400,Alexander County Unincorporated Area,003,Alexander County,,00000,county_unincorporated,county_unincorporated,2002,2014,0,17,0,0,0,0
113200,Cahokia village,163,St. Clair County,10370,73456,municipal,no_tiger_match,2000,2023,0,39,0,0,0,0
283600,Franklin County Unincorporated Area,055,Franklin County,,00000,county_unincorporated,county_unincorporated,2013,2025,0,0,0,0,0,0
291700,Gallatin County,059,Gallatin County,,,county_wide,county_wide,2000,2004,0,0,0,0,0,0
315700,Grant township,183,Vermilion County,,30965,township,township,2000,2025,0,38,0,0,0,0
326500,Gulf Port village,071,Henderson County,31992,11280,municipal,no_tiger_match,2000,2025,0,21,0,0,0,0
471100,Manlius township,099,LaSalle County,,46448,township,township,2000,2007,0,20,0,0,0,0
507400,Miller township,099,LaSalle County,,49204,township,township,2000,2007,0,12,0,0,0,0
536800,Murdock township,041,Douglas County,,51427,township,township,2020,2025,0,0,0,0,0,0
544000,Neoga township,035,Cumberland County,,51993,township,township,2000,2014,0,49,0,0,0,0
568300,Northville township,099,LaSalle County,,54248,township,township,2000,2007,0,328,0,0,0,0
610000,Payson township,001,Adams County,,58278,township,township,2025,2025,0,0,0,0,0,0
725200,Sidell township,183,Vermilion County,,69849,township,township,2013,2025,0,0,0,0,0,0
816700,Wallace township,099,LaSalle County,,78487,township,township,2000,2007,0,1,0,0,0,0
819100,Waltham township,099,LaSalle County,,,township,township,2000,2002,0,0,0,0,0,0
